city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Rikitea,-134.97,-23.12,76.68,69,93,9.86,PF,1586852334
Ambon City,128.18,-3.7,77.0,94,40,19.46,ID,1586852334
Saldanha,17.94,-33.01,66.2,69,0,11.41,ZA,1586852334
Hailey,-114.32,43.52,28.4,46,1,9.17,US,1586852335
San Patricio,-104.7,19.22,71.1,50,0,4.83,MX,1586852335
Thompson,-97.86,55.74,-7.6,76,5,2.24,CA,1586852113
Henties Bay,14.28,-22.12,61.0,84,0,1.99,NA,1586852155
Provideniya,-173.3,64.38,25.02,97,100,7.16,RU,1586852335
Quelimane,36.89,-17.88,87.8,74,75,8.05,MZ,1586852336
Kapaa,-159.32,22.08,73.4,94,75,3.36,US,1586852093
Grover Beach,-120.62,35.12,53.6,87,90,3.83,US,1586852336
Ribeira Grande,-28.7,38.52,57.2,71,20,4.7,PT,1586852336
Mount Gambier,140.77,-37.83,77.0,22,100,6.93,AU,1586852303
Jamestown,-79.24,42.1,37.0,69,90,18.34,US,1586852124
Mataura,168.86,-46.19,46.99,69,85,11.99,NZ,1586852337
Codrington,141.97,-38.27,64.11,48,100,2.84,AU,1586852337
Boa Vista,-60.67,2.82,80.6,61,100,11.41,BR,1586852337
New Norfolk,147.06,-42.78,66.0,63,75,3.36,AU,1586852337
Ushuaia,-68.3,-54.8,44.6,70,75,12.75,AR,1586852124
Hobart,147.33,-42.88,66.0,63,75,3.36,AU,1586852338
Vila Franca do Campo,-25.43,37.72,55.4,87,75,9.17,PT,1586852338
Upernavik,-56.15,72.79,26.76,97,100,18.75,GL,1586852338
Barrow,-156.79,71.29,19.4,92,75,5.82,US,1586852102
Emba,58.14,48.83,47.89,46,83,17.34,KZ,1586852339
Vaini,-175.2,-21.2,75.2,88,75,4.7,TO,1586852339
Albany,-73.97,42.6,43.0,64,90,10.29,US,1586852339
Rūdbār,62.6,30.15,75.78,40,20,10.2,AF,1586852340
Ponta do Sol,-17.1,32.67,59.0,58,40,6.93,PT,1586852340
Chokurdakh,147.92,70.63,-5.13,91,96,7.81,RU,1586852340
Merauke,140.33,-8.47,81.14,84,10,12.82,ID,1586852223
Pozo Colorado,-58.8,-23.49,59.74,85,69,8.79,PY,1586852341
Caraballeda,-66.85,10.61,66.99,73,1,4.68,VE,1586852341
Tuatapere,167.68,-46.13,46.99,69,86,11.99,NZ,1586852341
Nouadhibou,-17.03,20.93,62.6,88,0,16.11,MR,1586852341
Mazyr,29.25,52.05,42.33,58,100,10.07,BY,1586852341
Pandan,124.17,14.05,80.01,83,29,18.48,PH,1586852341
Saint Paul Harbor,-152.41,57.79,41.0,86,90,8.05,US,1586852342
Saint-Philippe,55.77,-21.36,86.0,62,1,18.34,RE,1586852342
Belmonte,-38.88,-15.86,71.6,94,90,6.93,BR,1586852342
Aklavik,-135.01,68.22,23.0,92,90,12.75,CA,1586852342
Ahipara,173.17,-35.17,59.56,67,54,16.91,NZ,1586852342
Troitsk,61.58,54.1,35.98,87,100,16.37,RU,1586852343
Mayskiy,40.1,47.69,59.0,21,100,15.66,RU,1586852343
Port Moresby,147.18,-9.44,84.2,83,75,17.22,PG,1586852166
Sotouboua,0.98,8.57,90.55,46,79,2.13,TG,1586852343
Kruisfontein,24.73,-34.0,66.4,57,0,13.71,ZA,1586852344
Busselton,115.33,-33.65,71.01,35,98,12.21,AU,1586852344
Naze,129.48,28.37,68.0,49,20,14.99,JP,1586852344
Miles City,-105.84,46.41,14.0,85,1,4.7,US,1586852344
Cape Town,18.42,-33.93,68.0,60,20,8.05,ZA,1586852212
Hualmay,-77.61,-11.1,69.51,84,18,4.97,PE,1586852345
Ketchikan,-131.65,55.34,42.8,100,90,8.05,US,1586852345
Hofn,-15.21,64.25,39.96,70,100,22.15,IS,1586852345
Hohhot,111.65,40.81,69.8,18,25,15.66,CN,1586852345
Ginda,78.49,30.69,71.94,20,98,6.78,IN,1586852345
Korla,86.15,41.76,80.73,10,95,8.05,CN,1586852345
Berbera,45.01,10.44,86.25,65,43,8.34,SO,1586852346
Mahébourg,57.7,-20.41,82.99,69,40,17.22,MU,1586852346
Bathsheba,-59.52,13.22,78.8,74,20,12.75,BB,1586852346
Hong Kong,114.16,22.29,75.99,53,20,6.93,HK,1586852083
Santa Cruz de la Sierra,-63.17,-17.8,75.2,73,40,11.41,BO,1586852181
Ongandjera,15.07,-17.88,81.82,30,7,4.5,NA,1586852347
Cherskiy,161.3,68.75,17.49,97,100,4.59,RU,1586852347
Norman Wells,-126.83,65.28,33.8,86,90,3.36,CA,1586852347
Ilulissat,-51.1,69.22,26.6,79,100,11.41,GL,1586852347
Karratha,116.85,-20.74,88.52,50,0,10.65,AU,1586852347
